Sample,HR_Cond1_Rep31_R1,HR_Cond1_Rep32_R2,HR_Cond1_Rep33_R3,HR_Cond1_Rep34_R4,HR_Cond1_Rep35_R5,HR_Cond1_Rep36_R6,HR_Cond2_Rep37_R1,HR_Cond2_Rep38_R2,HR_Cond2_Rep39_R3,HR_Cond2_Rep40_R4,HR_Cond2_Rep41_R5,HR_Cond2_Rep42_R6
Label,HYD,HYD,HYD,HYD,HYD,HYD,DEH-4,DEH-4,DEH-4,DEH-4,DEH-4,DEH-4
414.3064__1.15,0,18698.11321,22457.14286,0,21979.16667,21700,0,19184.21053,20714.28571,25662.33766,21872.34043,22064.51613
413.3028__1.15,70852.94118,68386.79245,81628.57143,66725.66372,79895.83333,80400,70196.07843,68289.47368,75208.79121,94688.31169,81851.06383,79301.07527
315.2296__1.15,6809.803922,0,0,14911.50442,0,0,0,0,0,0,0,21569.89247
284.2949__1.15,40686.27451,37188.67925,41400,54823.00885,45114.58333,46755.55556,49215.68627,38482.45614,64340.65934,56298.7013,49053.19149,68677.41935
306.2769__1.15,23617.64706,22726.41509,24590.47619,35814.15929,26197.91667,27077.77778,30509.80392,24035.08772,42791.20879,33129.87013,30872.34043,42236.55914
185.1149__1.15,0,18075.4717,15914.28571,17495.57522,17718.75,19555.55556,17735.29412,14324.5614,20769.23077,23350.64935,21361.70213,20569.89247
87.0803__1.16,0,204905.6604,210380.9524,188938.0531,225625,0,201764.7059,188333.3333,245164.8352,0,222553.1915,241827.957
313.1671__1.16,2774.509804,2778.301887,0,7580.530973,0,0,6553.921569,0,10681.31868,4111.688312,5353.191489,0
73.0648__1.16,0,0,149619.0476,140442.4779,164583.3333,0,79911.76471,135526.3158,0,0,0,175376.3441
101.096__1.16,50274.5098,46443.39623,46923.80952,43168.14159,51562.5,56055.55556,49578.43137,41429.82456,58208.79121,56545.45455,51638.29787,57408.60215
314.1659__1.16,0,0,2284.761905,5212.389381,0,2191.111111,0,2379.824561,4806.593407,0,2311.702128,4500
343.1933__1.17,2381.372549,0,1325.714286,3469.026549,2417.708333,2967.777778,16323.52941,0,15802.1978,3379.220779,9565.957447,9116.129032
