Sample,SS_Cond1_Rep1_R1,SS_Cond1_Rep2_R2,SS_Cond1_Rep3_R3,SS_Cond1_Rep4_R4,SS_Cond1_Rep5_R5,SS_Cond1_Rep6_R6,SS_Cond2_Rep10_R4,SS_Cond2_Rep11_R5,SS_Cond2_Rep12_R6,SS_Cond2_Rep7_R1,SS_Cond2_Rep8_R2,SS_Cond2_Rep9_R3
Label,HYD,HYD,HYD,HYD,HYD,HYD,DEH-4,DEH-4,DEH-4,DEH-4,DEH-4,DEH-4
414.3064__1.15,18941.17647,19962.26415,18219.04762,18840.70796,19364.58333,23500,0,17245.61404,25186.81319,0,21936.17021,22774.19355
413.3028__1.15,65970.58824,0,70790.47619,69265.48673,74177.08333,85977.77778,0,63482.45614,93747.25275,90220.77922,80542.55319,80655.91398
315.2296__1.15,10960.78431,8295.283019,13638.09524,0,27468.75,0,11068.62745,0,6803.296703,8124.675325,5869.148936,8644.086022
284.2949__1.15,40068.62745,38528.30189,49514.28571,45522.12389,54541.66667,57122.22222,59264.70588,42342.10526,64516.48352,60025.97403,63489.3617,48946.23656
306.2769__1.15,22892.15686,24773.58491,30390.47619,30079.64602,32291.66667,38722.22222,37735.29412,25824.5614,43659.34066,36532.46753,40893.61702,29150.53763
185.1149__1.15,0,0,0,0,19145.83333,18266.66667,0,17587.7193,19065.93407,0,18978.7234,0
87.0803__1.16,0,0,0,0,222500,0,0,187368.4211,264725.2747,0,236914.8936,0
313.1671__1.16,2823.529412,0,5070.47619,5940.707965,6557.291667,7023.333333,7785.294118,4240.350877,10607.69231,5197.402597,7862.765957,4558.064516
73.0648__1.16,0,0,0,0,0,0,0,140175.4386,186593.4066,0,0,0
101.096__1.16,49862.7451,48867.92453,45961.90476,43398.23009,52677.08333,55088.88889,48715.68627,43043.85965,60000,67662.33766,55563.82979,57935.48387
314.1659__1.16,0,2153.773585,3290.47619,0,0,6265.555556,5097.058824,0,10496.7033,3442.857143,4527.659574,4851.612903
343.1933__1.17,2729.411765,0,2959.047619,10318.58407,12666.66667,3361.111111,5012.745098,5764.912281,3121.978022,3541.558442,5223.404255,0
311.1666__1.18,3966.666667,0,4223.809524,0,22000,4748.888889,7318.627451,0,4937.362637,5155.844156,8341.489362,2329.032258
75.044__1.18,36490.19608,50462.26415,44723.80952,11955.75221,11635.41667,52611.11111,45549.01961,22078.94737,61208.79121,60428.57143,46648.93617,54204.30108
171.1492__1.2,51411.76471,85179.24528,0,58725.66372,58208.33333,64788.88889,93764.70588,70719.29825,0,125428.5714,59010.6383,95419.35484
199.1804__1.2,15117.64706,0,17542.85714,24893.80531,14437.5,13022.22222,13990.19608,23587.7193,0,23987.01299,19255.31915,25430.10753
102.0913__1.21,18764.70588,22726.41509,19542.85714,22592.92035,26114.58333,26833.33333,26833.33333,24657.89474,30483.51648,34350.64935,28446.80851,27666.66667
163.1326__1.27,0,0,0,0,0,2508.888889,0,0,2156.043956,0,0,1425.806452
84.0443__1.33,70519.60784,0,0,80814.15929,91250,55977.77778,0,55859.64912,0,0,0,0
109.0284__1.41,0,26669.81132,26761.90476,0,0,36777.77778,0,9245.614035,0,0,0,0
246.9387__1.49,32607.84314,29386.79245,35266.66667,18699.11504,13572.91667,23566.66667,21254.90196,17175.4386,28021.97802,48740.25974,25159.57447,44795.69892
149.0297__1.51,0,0,0,0,0,0,0,6176.315789,0,0,0,0
261.0056__1.51,35647.05882,19075.4717,34352.38095,35884.95575,36718.75,38344.44444,48882.35294,43815.78947,49835.16484,66038.96104,64287.23404,54580.64516
131.0188__1.51,41529.41176,28849.0566,32790.47619,41221.23894,31187.5,43922.22222,56343.13725,55447.36842,59626.37363,33155.84416,21223.40426,31827.95699
242.9948__1.51,21941.17647,25122.64151,29219.04762,25619.46903,27895.83333,41488.88889,36333.33333,30307.01754,67043.95604,53818.18182,38755.31915,57483.87097
133.0345__1.51,281862.7451,166226.4151,279047.619,289026.5487,390312.5,391111.1111,441078.4314,350175.4386,492527.4725,567142.8571,485212.766,495591.3978
101.0082__1.52,2199019.608,1564150.943,2427619.048,2446902.655,3502083.333,3564444.444,3965686.275,2893859.649,5153846.154,5116883.117,3994680.851,5005376.344
119.0189__1.52,998039.2157,372924.5283,820095.2381,908849.5575,1223958.333,1032888.889,1560784.314,1172807.018,1165934.066,1975324.675,1736170.213,1352688.172
120.0194__1.52,119117.6471,45792.45283,102285.7143,109557.5221,153437.5,119111.1111,191568.6275,146929.8246,139670.3297,238961.039,213404.2553,161075.2688
232.9237__1.52,83598.03922,51735.84906,79257.14286,66592.92035,76250,85411.11111,88088.23529,76684.21053,94439.56044,145454.5455,112340.4255,102817.2043
232.9993__1.52,201568.6275,68113.20755,174571.4286,217522.1239,291875,261000,404215.6863,282631.5789,331428.5714,474545.4545,424255.3191,381397.8495
147.0138__1.52,114313.7255,67084.90566,116190.4762,113539.823,160937.5,155555.5556,189411.7647,144736.8421,210219.7802,238181.8182,202659.5745,213763.4409
214.9888__1.52,91284.31373,71773.58491,122095.2381,130088.4956,184062.5,209777.7778,217941.1765,151403.5088,382197.8022,271428.5714,212872.3404,339462.3656
216.986__1.52,25823.52941,18528.30189,33133.33333,34743.36283,53583.33333,53544.44444,57852.94118,40561.40351,99252.74725,70792.20779,57265.95745,88505.37634
121.0165__1.52,146078.4314,54858.49057,121238.0952,134070.7965,179895.8333,150777.7778,231274.5098,172368.4211,170109.8901,293116.8831,247446.8085,204193.5484
234.9966__1.52,53205.88235,16320.75472,46457.14286,56876.10619,78302.08333,73233.33333,106764.7059,77842.10526,88054.94505,132467.5325,116382.9787,100870.9677
70.9797__1.52,43156.86275,29386.79245,46028.57143,46743.36283,72729.16667,72166.66667,81303.92157,58859.64912,104593.4066,105194.8052,76627.65957,101806.4516
127.024__1.52,37852.94118,30273.58491,47552.38095,45345.13274,64208.33333,67100,76450.98039,52000,98846.15385,95506.49351,69670.21277,96612.90323
215.9898__1.52,24460.78431,0,33904.7619,36929.20354,53375,61000,58911.76471,43771.92982,107461.5385,74415.58442,58510.6383,96279.56989
200.9731__1.52,107352.9412,61122.64151,130380.9524,146814.1593,206979.1667,214444.4444,263235.2941,176140.3509,361208.7912,324675.3247,253085.1064,350215.0538
146.9967__1.52,39078.43137,30962.26415,33904.7619,33530.97345,28666.66667,30588.88889,42411.76471,33456.14035,44868.13187,54233.76623,14563.82979,21817.2043
182.9625__1.52,40705.88235,38141.50943,59295.2381,63106.19469,91343.75,113444.4444,113039.2157,72956.14035,227912.0879,143636.3636,98914.89362,202903.2258
203.0853__1.52,851176.4706,572264.1509,826666.6667,816460.177,1071875,1030666.667,1043137.255,881578.9474,1284615.385,1702597.403,1018297.872,1292473.118
114.9876__1.52,196960.7843,135754.717,225809.5238,222212.3894,325625,310555.5556,369411.7647,262017.5439,484395.6044,467402.5974,355957.4468,452903.2258
218.9836__1.52,126274.5098,31679.24528,101142.8571,127876.1062,171666.6667,146000,252352.9412,175438.5965,177142.8571,301558.4416,280531.9149,215376.3441
132.9981__1.52,109705.8824,43566.03774,93923.80952,103451.3274,142916.6667,118000,178725.4902,135701.7544,145824.1758,224025.974,192765.9574,161720.4301
116.9858__1.52,761176.4706,535471.6981,803809.5238,631592.9204,1109375,833222.2222,1037254.902,639736.8421,1235164.835,1659740.26,972446.8085,1216129.032
88.9902__1.52,68568.62745,38556.60377,70009.52381,70486.72566,107708.3333,99333.33333,123235.2941,88157.89474,140439.5604,158181.8182,122340.4255,148709.6774
131.9613__1.52,0,0,0,0,0,0,0,0,0,0,0,61290.32258
86.9926__1.52,465980.3922,280377.3585,493619.0476,480619.469,716041.6667,684777.7778,869509.8039,604824.5614,995054.9451,1093116.883,857340.4255,993870.9677
99.935__1.52,0,0,0,0,3360.416667,0,0,0,0,0,0,14709.67742
